candidate_id,target_job_role,education_level,degree_field,years_of_experience,num_projects,num_certifications,num_internships,technical_skills_count,relevant_skills_count,required_skills_count,skill_match_percentage,soft_skills_count,project_relevance_score,experience_relevance_score,education_relevance_score,resume_quality_score,ats_score,keyword_match_percentage,overall_resume_score,job_readiness_score,experience_level,missing_skills_count,job_readiness,shortlisted
C00001,Cybersecurity Analyst,Bachelor's,Other,8,11,0,1,9,4,6,67.65,10,64.33,60.97,26.56,82.86,75.35,72.78,65.39,61.8,Senior,2,Beginner,1
C00002,Cloud Engineer,Bachelor's,Computer Science,5,6,4,0,8,4,6,64.71,2,62.73,47.33,84.32,80.29,65.17,65.75,67.27,61.06,Mid-Level,2,Beginner,1
C00003,Cloud Engineer,Bachelor's,Information Technology,4,4,4,0,7,4,6,62.13,7,61.05,39.43,86.71,81.18,77.2,69.03,68.54,56.91,Mid-Level,2,Beginner,0
C00004,Cybersecurity Analyst,Bachelor's,Computer Science,3,5,5,0,6,4,6,62.01,7,67.38,40.51,87.59,73.99,67.12,64.87,63.72,66.34,Mid-Level,2,Beginner,0
C00005,Backend Developer,Master's,Data Science,11,14,5,1,11,4,6,70.89,4,66.75,72.35,66.96,97.21,79.63,73.86,81.45,68.96,Senior,2,Beginner,0
C00006,Full Stack Developer,Bachelor's,Computer Science,5,4,1,1,8,5,7,67.17,10,70.93,47.14,92.72,58.59,68.79,67.53,66.35,64.52,Mid-Level,2,Beginner,0
C00007,Data Analyst,Bachelor's,Data Science,10,12,0,1,8,5,6,84.57,5,81.96,81.16,90.64,77.2,85.29,84.47,85.33,76.48,Senior,1,Intermediate,1
C00008,UI/UX Designer,Master's,Information Technology,6,4,2,0,5,4,6,69.38,4,59.23,55.17,75.23,68.41,62.71,64.5,66.74,58.81,Mid-Level,2,Beginner,0
C00009,QA Engineer,Master's,Information Technology,14,12,1,0,10,5,6,85.89,7,80.33,81.55,85.77,82.58,91.44,88.31,86.59,82.13,Senior,1,Intermediate,1
C00010,Mobile App Developer,Bachelor's,Electronics,5,3,2,0,4,3,6,53.07,3,50.84,42.02,48.18,63.65,56.14,58.37,56.5,43.26,Mid-Level,3,Not Ready,0
C00011,QA Engineer,Bachelor's,Computer Science,12,7,2,0,5,4,6,65.04,2,70.92,74.46,73.23,84.75,70.74,73.7,76.4,63.49,Senior,2,Beginner,0
C00012,Data Scientist,Bachelor's,Computer Science,4,9,5,1,10,3,6,51.1,2,53.54,38.58,80.51,91.03,62.9,55.53,65.03,59.42,Mid-Level,3,Beginner,0
C00013,Data Analyst,Bachelor's,Business,0,2,0,1,9,1,6,18.95,3,14.22,25.84,71.32,53.57,26.24,29.23,34.62,21.92,Fresher,5,Not Ready,0
C00014,UI/UX Designer,Bachelor's,Information Technology,7,5,4,0,9,3,6,50.12,8,43.12,50.79,66.45,83.06,61.48,61.08,60.75,50.94,Mid-Level,3,Beginner,0
C00015,UI/UX Designer,Master's,Information Technology,6,7,1,0,10,3,6,51.6,8,55.58,50.32,75.55,73.37,53.8,59.93,62.2,52.84,Mid-Level,3,Beginner,0
C00016,Data Scientist,Bachelor's,Mathematics,11,14,4,0,5,5,6,87.2,7,91.14,80.08,76.42,86.59,93.33,88.14,83.49,78.51,Senior,1,Intermediate,0
C00017,Java Developer,Diploma,Computer Science,2,1,3,0,11,3,6,51.92,3,43.93,34.02,77.24,49.3,48.08,53.86,51.05,51.4,Junior,3,Beginner,0
C00018,Mobile App Developer,Bachelor's,Computer Science,6,5,0,1,9,4,6,64.32,6,56.74,53.16,94.73,72.77,69.8,68.96,69.18,60.15,Mid-Level,2,Beginner,1
C00019,Python Developer,Bachelor's,Data Science,7,9,1,0,4,4,6,61.91,6,69.16,62.69,81.77,84.26,77.49,65.08,70.59,67.57,Mid-Level,2,Beginner,0
C00020,DevOps Engineer,PhD,Other,13,13,4,1,11,4,6,64.61,2,70.99,72.24,48.51,96.71,78.36,75.39,76.78,66.79,Senior,2,Beginner,0
C00021,Backend Developer,Bachelor's,Other,5,6,3,1,10,2,6,33.52,2,41.7,42.03,32.41,78.74,49.36,40.5,51.8,42.46,Mid-Level,4,Not Ready,0
C00022,Cloud Engineer,Master's,Information Technology,11,10,2,1,9,5,6,86.32,4,84.07,86.8,100.0,97.24,88.09,87.26,88.5,82.86,Senior,1,Intermediate,0
C00023,Data Scientist,Bachelor's,Information Technology,8,7,1,0,13,5,6,84.24,3,69.65,75.08,75.37,73.26,73.88,82.27,78.27,68.51,Senior,1,Beginner,1
C00024,Data Scientist,Diploma,Data Science,4,9,4,1,10,4,6,67.07,2,69.03,49.87,87.26,71.76,66.12,70.96,66.07,63.48,Mid-Level,2,Beginner,0
C00025,Python Developer,Diploma,Other,0,1,0,1,9,1,6,18.63,4,13.38,13.91,16.73,37.5,26.97,24.55,25.49,14.89,Fresher,5,Not Ready,0
C00026,Full Stack Developer,Master's,Information Technology,9,14,3,0,6,6,7,84.91,8,84.54,80.24,98.56,84.73,78.7,80.33,81.22,83.42,Senior,1,Intermediate,1
C00027,Frontend Developer,Bachelor's,Computer Science,11,13,4,0,7,5,6,83.07,3,80.94,81.37,89.34,93.85,89.54,80.68,87.0,81.96,Senior,1,Intermediate,0
C00028,DevOps Engineer,Master's,Software Engineering,8,6,5,1,7,4,6,62.37,7,64.61,64.18,95.27,98.04,77.85,68.39,79.58,68.03,Senior,2,Beginner,0
C00029,UI/UX Designer,Master's,Computer Science,6,3,2,0,6,4,6,70.72,4,52.97,52.35,75.69,66.79,62.66,71.76,62.89,57.79,Mid-Level,2,Beginner,0
C00030,Java Developer,Diploma,Electronics,2,5,4,1,3,1,6,12.85,7,23.98,27.47,41.29,66.26,39.07,21.35,35.86,30.44,Junior,5,Not Ready,0
C00031,Cloud Engineer,PhD,Information Technology,6,4,3,0,4,4,6,69.43,4,56.79,59.5,100.0,82.86,78.82,74.66,74.32,71.09,Mid-Level,2,Beginner,1
C00032,Cloud Engineer,Master's,Information Technology,3,5,2,1,7,5,6,82.23,3,66.34,39.65,100.0,70.11,84.58,84.31,75.62,69.55,Mid-Level,1,Beginner,1
C00033,Mobile App Developer,Bachelor's,Information Technology,7,10,2,0,7,4,6,69.19,4,73.0,56.82,92.9,81.41,67.0,72.13,71.86,69.29,Mid-Level,2,Beginner,1
C00034,Mobile App Developer,Diploma,Computer Science,8,13,5,1,12,5,6,84.52,4,79.78,73.97,75.84,75.16,85.92,84.71,77.57,74.44,Senior,1,Beginner,1
C00035,Full Stack Developer,Bachelor's,Information Technology,2,5,2,2,7,4,7,61.62,9,60.99,32.7,92.53,59.84,65.34,61.84,60.4,60.29,Junior,3,Beginner,0
C00036,Backend Developer,Bachelor's,Computer Science,3,9,4,1,10,4,6,62.23,9,60.73,40.43,86.18,83.94,72.25,71.19,68.53,58.18,Mid-Level,2,Beginner,1
C00037,UI/UX Designer,Bachelor's,Other,11,12,4,1,8,3,6,54.7,10,50.69,69.89,33.91,99.89,65.95,64.28,71.83,56.51,Senior,3,Beginner,1
C00038,Product Designer,Bachelor's,Computer Science,2,4,5,1,7,3,6,50.84,9,52.42,29.49,55.45,81.21,69.23,56.47,61.01,48.72,Junior,3,Not Ready,0
C00039,Backend Developer,Bachelor's,Information Technology,5,7,5,1,7,4,6,62.44,7,71.42,50.71,94.86,83.58,67.85,69.81,71.67,61.88,Mid-Level,2,Beginner,0
C00040,Cloud Engineer,Master's,Other,1,6,4,1,4,2,6,34.47,2,34.36,27.86,44.33,70.22,41.19,40.38,46.95,41.55,Junior,4,Not Ready,0
C00041,Frontend Developer,Bachelor's,Information Technology,1,6,4,2,9,4,6,70.09,3,67.75,29.76,89.69,68.87,62.5,73.49,65.68,65.48,Junior,2,Beginner,1
C00042,Data Scientist,Bachelor's,Mathematics,6,8,0,1,12,4,6,70.16,6,61.29,52.45,74.51,78.26,75.1,69.07,72.23,61.63,Mid-Level,2,Beginner,0
C00043,Mobile App Developer,Diploma,Software Engineering,2,6,0,0,11,3,6,52.72,10,49.32,32.59,88.52,52.98,58.85,51.81,52.68,43.7,Junior,3,Not Ready,0
C00044,Data Scientist,Bachelor's,Mathematics,4,3,5,1,4,3,6,46.36,2,36.73,40.42,73.51,73.78,56.33,55.89,56.62,49.44,Mid-Level,3,Not Ready,0
C00045,Python Developer,Bachelor's,Software Engineering,5,3,5,0,12,5,6,87.83,7,65.52,56.27,99.27,73.13,81.3,89.69,78.89,73.84,Mid-Level,1,Beginner,1
C00046,DevOps Engineer,Bachelor's,Computer Science,12,6,3,0,7,4,6,62.95,3,56.76,74.73,81.39,77.91,66.46,69.91,71.02,66.13,Senior,2,Beginner,0
C00047,QA Engineer,Bachelor's,Computer Science,4,3,5,1,6,3,6,47.79,2,39.33,36.11,70.89,74.87,53.92,51.85,56.67,50.54,Mid-Level,3,Beginner,0
C00048,Product Designer,Master's,Information Technology,9,6,3,0,8,4,6,70.4,7,69.07,69.34,65.61,91.4,82.77,71.45,76.36,67.03,Senior,2,Beginner,0
C00049,Mobile App Developer,Bachelor's,Information Technology,2,5,3,0,10,3,6,52.47,10,40.09,34.15,87.52,75.82,62.0,57.47,59.09,50.11,Junior,3,Beginner,0
C00050,DevOps Engineer,Bachelor's,Information Technology,7,3,4,0,7,4,6,61.87,4,54.99,56.55,87.11,70.92,71.74,64.61,69.4,65.48,Mid-Level,2,Beginner,1
C00051,Cloud Engineer,Diploma,Information Technology,2,4,3,2,9,3,6,52.45,3,44.91,29.85,76.28,55.81,56.13,53.83,52.34,53.36,Junior,3,Beginner,0
C00052,Full Stack Developer,Bachelor's,Computer Science,9,11,4,1,13,5,7,68.89,5,68.21,68.78,86.87,85.27,81.79,67.97,78.14,69.71,Senior,2,Beginner,1
C00053,Cloud Engineer,Diploma,Information Technology,1,3,5,0,8,4,6,70.32,7,62.91,27.37,77.58,63.7,74.54,69.56,64.43,58.74,Junior,2,Beginner,1
C00054,Backend Developer,Bachelor's,Information Technology,4,4,4,1,10,4,6,66.74,6,55.21,46.13,86.15,70.62,69.59,64.06,67.16,61.91,Mid-Level,2,Beginner,0
C00055,Cybersecurity Analyst,Bachelor's,Computer Science,12,7,3,0,12,4,6,71.57,5,60.99,74.75,93.1,87.4,82.07,75.69,80.61,70.31,Senior,2,Beginner,1
C00056,Mobile App Developer,Master's,Electronics,6,9,4,0,10,3,6,46.24,9,57.19,45.07,64.38,82.56,64.63,54.25,63.61,49.0,Mid-Level,3,Not Ready,0
C00057,Data Scientist,Bachelor's,Data Science,4,3,1,0,4,4,6,69.81,8,60.48,44.44,95.23,69.54,67.98,72.92,67.66,59.39,Mid-Level,2,Beginner,0
C00058,Cloud Engineer,Bachelor's,Software Engineering,8,9,0,1,12,5,6,80.66,7,86.56,70.89,88.84,82.0,83.18,77.09,83.62,75.0,Senior,1,Beginner,1
C00059,UI/UX Designer,Diploma,Information Technology,2,3,1,1,10,3,6,50.33,9,50.8,28.09,57.89,47.49,45.17,52.2,42.95,43.6,Junior,3,Not Ready,0
C00060,QA Engineer,Master's,Information Technology,11,14,0,0,8,5,6,79.44,7,92.21,79.72,86.27,89.76,77.97,78.8,83.71,77.13,Senior,1,Intermediate,0
C00061,Product Designer,Bachelor's,Information Technology,0,2,2,3,8,1,6,15.12,8,11.24,24.58,64.08,57.41,31.43,28.05,34.01,26.13,Fresher,5,Not Ready,0
C00062,Java Developer,Bachelor's,Computer Science,9,10,3,1,5,5,6,87.65,9,82.71,83.04,91.97,90.82,83.36,89.05,87.75,80.25,Senior,1,Intermediate,0
C00063,QA Engineer,Master's,Other,6,5,3,1,9,2,6,29.47,4,41.92,38.97,48.39,87.23,58.49,41.21,55.03,39.52,Mid-Level,4,Not Ready,0
